transaction_hash,time,block_id,inputs,outputs
00000000b9e7b82004e9f3213ff6ffce443663eaa7595f80cdad0f8345301443,2024-04-01 19:50:59,837290,"bc1plmmxh80wwqh3ah9r9hq2swdz66veesfprffgrflew9p7jndhy0ts0uyl4g, 4673","bc1p34ax5298n5fegrf4vwm85j35lufkcw07fnw4vemjgx0a0d35cfyqscmmjl, 2475;bc1plmmxh80wwqh3ah9r9hq2swdz66veesfprffgrflew9p7jndhy0ts0uyl4g, 658"
00000000e752b3c5b53985fbe8e316b64cb698a26099a1d89e28de6b56db1100,2024-04-01 07:22:22,837208,"bc1p0z3uqlqekmdtj22xkq2e3yuk6ukmvup80fz728glv7afhmnwuvdq7htvj2, 237156","bc1pu9yasvrhee5s8c5hapk3n7zkmjexpk0qt0sakc5zgynmq0ykqeds3l9th3, 2931;bc1p0z3uqlqekmdtj22xkq2e3yuk6ukmvup80fz728glv7afhmnwuvdq7htvj2, 232223"
00000022ae7a76c15d91643ee3df67c80d3dc571184169b6ed1ebbde7c91af32,2024-04-01 02:04:37,837177,"bc1p7fjpchnzq8ydunwrp8f3t4xzmdgt4fr0p5yj30z28ejlmqf29wmqcmag7q, 699526","bc1pf3s02mglzpm44v62vfq442ctqkqqutdkqu42rq2egkmesfafz5xq3fczpt, 11960;bc1p7fjpchnzq8ydunwrp8f3t4xzmdgt4fr0p5yj30z28ejlmqf29wmqcmag7q, 685564"
000000f1f1f5433939b12d12e203b4307e62cd197b8b27ed958bb797b986bfac,2024-04-01 09:51:28,837229,"bc1paacu2fmqnpfcve5g8epdnyz5ldcvmh2fcv3rnld0m2j6nddfwgzq9ulv5h, 11600","bc1pdvw533nw5astk7a93jm0r6yvf04dcwjctuu9fcfple86ejswerrqzfnk7w, 10000;d-ac5b35a05bcdc85dca1bcdb310a6a928, 0"
00000133284350e04f63b25ed903b5c6c76e0a60347e7c43f4e5bc27dc0c0dd8,2024-04-01 02:04:37,837177,"bc1p7fjpchnzq8ydunwrp8f3t4xzmdgt4fr0p5yj30z28ejlmqf29wmqcmag7q, 713488","bc1pljmmksku0f4zplhv5tar9f82mnuzwp62gt23f75va3uk54c0y0hqr6m2ap, 11960;bc1p7fjpchnzq8ydunwrp8f3t4xzmdgt4fr0p5yj30z28ejlmqf29wmqcmag7q, 699526"
00000597ca8f87047bff1c30cbca59ac646a37bd88036f85334f285444c1fa61,2024-04-01 02:58:29,837182,"bc1pf3s02mglzpm44v62vfq442ctqkqqutdkqu42rq2egkmesfafz5xq3fczpt, 11960","bc1p7fjpchnzq8ydunwrp8f3t4xzmdgt4fr0p5yj30z28ejlmqf29wmqcmag7q, 10000"
0000088ca3a6058eb64177bea2c77f2a7a936c553628dac2c9020bbe150c9631,2024-04-01 21:43:37,837298,"bc1p583n2tfptsm36uvphfzuh2yqsklpv8mj7ra5xtrwkhzelfpcawtswnzule, 4990","bc1pr92gc54pxtx0yry4eguxvlh3mu7jst2eetjw49k5m9cj0lwnetksyrltwc, 2615;bc1p583n2tfptsm36uvphfzuh2yqsklpv8mj7ra5xtrwkhzelfpcawtswnzule, 681"
00000938f3e5f4905c487c8aa74ea38701fbab7aa0275289074ca093c054c61c,2024-04-01 23:36:04,837311,"bc1qpp8f6mmlmmdk9kuvqrk4n5k049xfm97pl47lyg, 22262","bc1pp39pmjy602gzp3dh3xmkt3uvlc8gg4etc27sq8jnfw3j4dlpanfq9yql7n, 2321;bc1qpp8f6mmlmmdk9kuvqrk4n5k049xfm97pl47lyg, 18555"
00000cfaaabda3a51defbf0f0f230329c13985766494566a25d5742c594ba01a,2024-04-01 02:58:29,837182,"bc1pljmmksku0f4zplhv5tar9f82mnuzwp62gt23f75va3uk54c0y0hqr6m2ap, 11960","bc1p7fjpchnzq8ydunwrp8f3t4xzmdgt4fr0p5yj30z28ejlmqf29wmqcmag7q, 10000"
000014dea59421b780d7be006c1825d8b19b9e9cfcf06cd34cb2999939ddfad8,2024-04-01 23:34:24,837310,"bc1qpp8f6mmlmmdk9kuvqrk4n5k049xfm97pl47lyg, 26260","bc1ppyxw5yuclcpak5va0sgklu2uww5yfxv4drf5gu3q988ksrhzxy3sdca047, 2458;bc1qpp8f6mmlmmdk9kuvqrk4n5k049xfm97pl47lyg, 22262"
00001ad08d55c59ae8e0f0f6537c9d17228156716201f25bbe96db75036bb0c3,2024-04-01 23:39:38,837312,"bc1pfh9prl8jqksd6etd7cdc6dpnxvyt4dg0l60fdc63r6rvta8swm9sk5jdmr, 288881","bc1p0v04xsdrasuhzaw64t2p543a88ffasylcz6elmxm5ywwrq5l70fq0sq7he, 2028;bc1pfh9prl8jqksd6etd7cdc6dpnxvyt4dg0l60fdc63r6rvta8swm9sk5jdmr, 285775"
00001b9f13170aa879a2ea1b2f7d1a3efd8bb89863f7147781e4854495dc6b03,2024-04-01 11:56:12,837242,"bc1pem968z0f6al4znfceznv9xafqyh8qyzj2j37zlnzzv4vkamafq5sak444e, 18777","bc1pq9qgnj0qxvaef257kr58y38lh8rv0fazfqgzgc0p3zaucgdgl2ss8m6g8l, 2174;bc1pem968z0f6al4znfceznv9xafqyh8qyzj2j37zlnzzv4vkamafq5sak444e, 15371"
00001c1e005f384da951ab3a4e48be2dc536f83645dc792160e11477ad2dc5cd,2024-04-01 23:39:38,837312,"bc1pfh9prl8jqksd6etd7cdc6dpnxvyt4dg0l60fdc63r6rvta8swm9sk5jdmr, 264033","bc1pvhn5a9ylhtcejvyumkag6gv8cg0va2jkn4mllsuqkuke0mtmevhswy3e2g, 2028;bc1pfh9prl8jqksd6etd7cdc6dpnxvyt4dg0l60fdc63r6rvta8swm9sk5jdmr, 260927"
00002165b4f43103f04fbdcf583faa061ccbe8fd8871044ec96a88db9481231f,2024-04-01 05:03:52,837197,"bc1p80qqv4p7mqy7qxytdndz3rda83jrxh2qlszxz2f5c92clu6d4hfqv9l8yg, 256804","bc1pzvhdymutj44frjrx7vaxv90gdtrutc8htsv6a8ffktr6cq38auws8kqeg8, 2757;bc1p80qqv4p7mqy7qxytdndz3rda83jrxh2qlszxz2f5c92clu6d4hfqv9l8yg, 252353"
0000224fdeb0f354f020499068ad7c06bc6781be6e47a316b25e7e05c906351e,2024-04-01 11:34:52,837239,"bc1pt8kdqtad33ucpst36r2l7pvw6xsrp4mgelpxzrtjpne4wqd8melqd8z4k7, 6184","bc1pdyxxfaxkqhvxavzet7l4v3pnqpwhnd28qrdfp97t74874u9rljhq0x8n0l, 2321;bc1pt8kdqtad33ucpst36r2l7pvw6xsrp4mgelpxzrtjpne4wqd8melqd8z4k7, 2477"
0000260cd803519e0f6da89cbee4eb17b779dd51feade77b2c16ab820cb6201c,2024-04-01 11:56:12,837242,"bc1pem968z0f6al4znfceznv9xafqyh8qyzj2j37zlnzzv4vkamafq5sak444e, 22183","bc1pqtwt7vpuqt7x6g23fn8crnan8smtscahrdfh4qemeku34uhjlnus2psv0v, 2174;bc1pem968z0f6al4znfceznv9xafqyh8qyzj2j37zlnzzv4vkamafq5sak444e, 18777"
